state_name,state_code,prio_year,patent_count,gdp,pop,fuel,avg_temp,lpop,lgdp,lfuel,lgdp_sq,ltemp,ihs_patent_count,log_patent_count
Colorado,CO,2002,9.96666666666666,235417.3,4490,23.01,46.1,8.4096079807363,12.369114963036546,3.1359289040472746,152.99500496881458,3.8308129500026027,2.9949006744004807,2.394860369103216
Colorado,CO,2003,14.8444444444444,237782.3,4529,28.09,47,8.418256443556213,12.37911082817255,3.335413641116152,153.24238489617886,3.8501476017100584,3.3919054583587673,2.762818930643973
Colorado,CO,2004,19.9,240747.6,4575,37.34,45.8,8.428361977709622,12.391504360763332,3.6200651381135764,153.54938032281666,3.824284091120139,3.6844976125129065,3.039749158970765
Colorado,CO,2005,14.1075757575758,251558.4,4632,50.65,46.8,8.440744019252831,12.435430448325558,3.9249392306946924,154.6399304351424,3.845883202923601,3.3411128930590017,2.7151963238083243
Colorado,CO,2006,20.1662698412698,257430.2,4720,57.38,46.5,8.459564078579602,12.458503894379202,4.049695810553219,155.21431928626174,3.8394523125933104,3.6977727496669415,3.052408869398252
Colorado,CO,2007,33.720177045177,266887.5,4804,62.54,46.2,8.477204183199873,12.494582500275635,4.135806352029695,156.11459185619415,3.832979798087693,4.211463358787453,3.5473209890065966
Colorado,CO,2008,51.4012265512266,270981.4,4890,88.23,44.9,8.494947582468917,12.509805462820024,4.479947041234014,156.4952327176017,3.8044377947482086,4.632903824374025,3.9589299985192024
Colorado,CO,2009,45.4685897435897,264966.3,4972,52.16,45.2,8.511577452630602,12.487357927070272,3.9543159176183975,155.93410799876477,3.8110970868381857,4.510289836154351,3.8387765949623973
Colorado,CO,2010,57.7609487734488,267858.9,5048,69.72,46.2,8.52674740422105,12.498215628309818,4.24448722065182,156.2053938917278,3.832979798087693,4.749535025420139,4.073477497762266
Colorado,CO,2011,39.4698412698413,271700.6,5122,85.64,45.4,8.541300266759471,12.512456003729998,4.450152463721482,156.56155524527887,3.8155121050473024,4.3688444857613336,3.7005570367115945
Colorado,CO,2012,50.0940476190476,276823.1,5194,82.91,48.3,8.555259392222693,12.531133953000806,4.417755682128127,157.0293181480496,3.877431560658527,4.607148981577134,3.9336680054746154
Colorado,CO,2013,51.0357142857143,286259.1,5271,87.16,45.1,8.569975376855206,12.564652623738295,4.467745510076419,157.87049555521364,3.8088822465086327,4.625768816900544,3.9519302960200013
Colorado,CO,2014,34.1333333333333,298655.3,5353,80.92,46.1,8.585412430393381,12.607045344529018,4.393461012299545,158.93759231901078,3.8308129500026027,4.223636112186593,3.559150347439151
Colorado,CO,2015,38.9468253968254,312409.7,5454,40.58,47.4,8.604104563405533,12.652070746401607,3.7032753343976688,160.0748941719513,3.858622228701031,4.355509218925861,3.687549204644943
Colorado,CO,2016,22.3075396825397,318953.4,5544,36.68,47.3,8.620471540869739,12.672800289591338,3.602231647388264,160.5998671798663,3.856510295497887,3.7985739110701253,3.148776899752518
Colorado,CO,2017,24.3611111111111,329913.3,5617,45.94,47.9,8.633552992532433,12.70658517165108,3.8273361972609523,161.4573067244231,3.8691155044168695,3.88655622427247,3.233216942138858
Colorado,CO,2018,23.4821789321789,342733.2,5697,59.05,47.2,8.647694999480395,12.744707580905985,4.078384542643371,162.42757132280246,3.8543938925915096,3.849842043592195,3.197945462350528
Colorado,CO,2019,28.4813492063492,358438.5,5758,50.72,45.3,8.65834547117212,12.789512376188595,3.9263203101289705,163.57162682068125,3.8133070324889884,4.042704687673023,3.3837578331106775
Colorado,CO,2020,8.82619047619048,353345.2,5784,33.33,47.3,8.6628507638386,12.775200761761841,3.506457892319648,163.20575450332032,3.856510295497887,2.874064508601383,2.285051318475168
Connecticut,CT,2000,25.4690476190476,216157.6,3412,28.12,48.5,8.13505390861157,12.283763050245637,3.336481066942464,150.89083467458002,3.8815637979434374,3.9309962565390437,3.2759760359562002
Connecticut,CT,2001,22.4023809523809,218135.3,3433,23.98,50.2,8.141189793457691,12.292870791454343,3.177220149599368,151.11467229539133,3.9160150266976834,3.802812194755872,3.152837767289213
Connecticut,CT,2002,33.8194444444444,216677.7,3459,23.94,50.5,8.148734808937169,12.286166274984097,3.1755507001298273,150.94988173655662,3.9219733362813143,4.214401603744005,3.550175979142237
Connecticut,CT,2003,49.2246392496392,219186,3484,29.12,48.2,8.155936337972394,12.297675963403172,3.3714252233284854,151.23283410086415,3.8753590210565547,4.589644635599972,3.9165057279900695
Connecticut,CT,2004,51.2119047619048,233426.5,3496,39.08,48.8,8.159374736775426,12.36062253137839,3.6656108271745818,152.7849893632191,3.8877303128591016,4.629214509930521,3.9553105294596227
Connecticut,CT,2005,44.0035714285714,238549.5,3507,53.84,49.5,8.162516250140179,12.38233211494541,3.9860166853364722,153.32214860480846,3.901972669574645,4.477547066288887,3.8067418517004428
Connecticut,CT,2006,46.6944805194805,248233.8,3517,63.99,51.1,8.165363632473982,12.42212632298052,4.158726821151369,154.3092223840855,3.933784497209659,4.536887787575013,3.864815678819238
Connecticut,CT,2007,47.5579365079365,257953,3527,69,49.5,8.168202930236053,12.46053267676605,4.23410650459726,155.2648745887545,3.901972669574645,4.55520637950657,3.882757652189723
Connecticut,CT,2008,67.3801337551338,257756,3546,96.6,49.7,8.173575486634153,12.459768679978783,4.570578741218473,155.2458355585802,3.906004933102583,4.903552464154849,4.225082340265601
Connecticut,CT,2009,48.4813492063492,244894.7,3562,56.56,48.8,8.178077463849608,12.408583601219759,4.0353020215883175,153.9729469884599,3.8877303128591016,4.574432698140787,3.90159581486371
Connecticut,CT,2010,39.6837662337662,244354.7,3579,71.74,51.4,8.182838710766026,12.406376137217634,4.273048472104136,153.91816885812315,3.9396381724611196,4.374248086035035,3.705829148845903
Connecticut,CT,2011,54.3936507936508,238542.4,3589,90.77,50.9,8.185628891147607,12.382302351287715,4.508328834538536,153.32141151870528,3.929862923556477,4.689479100998307,4.014464980572597
Connecticut,CT,2012,50.7571428571429,240911.9,3595,91.19,52.5,8.187299270155147,12.39218658547341,4.512945241945574,153.56628836918716,3.960813169597578,4.620296559267139,3.946562448845719
Connecticut,CT,2013,36.8833333333333,236050.6,3596,92.45,49.8,8.18757739559151,12.37180146780556,4.5266679578331335,153.0614715587958,3.9080149840306073,4.301090679895047,3.6345112616304416
Connecticut,CT,2014,30.325,235780.9,3596,82.2,48.7,8.18757739559151,12.370658262956486,4.409155302062135,153.03318585885359,3.885679030088544,4.105391380265118,3.444416500782132
Connecticut,CT,2015,27.3873015873016,242706.5,3589,37.65,49.8,8.185628891147607,12.399608173391496,3.6283329542459026,153.75028285363717,3.9080149840306073,4.003559779059345,3.345941917968293
Connecticut,CT,2016,31.2295454545455,243286.7,3580,34.88,51.8,8.183118079394745,12.401995862254822,3.551913599040779,153.8095013673857,3.9473901492654373,4.134768033930316,3.4728835925490404
Connecticut,CT,2017,25.7440476190476,247035.9,3575,44.96,50.9,8.181720455128108,12.417288949178234,3.8057732055854356,154.1890648473839,3.929862923556477,3.9417276200040368,3.2863119296669003
Connecticut,CT,2018,18.5320818070818,249074.8,3575,59.41,50.8,8.181720455128108,12.425508531941741,4.08446256236765,154.393262277357,3.927896354584436,3.613377702233505,2.972058334552398
Connecticut,CT,2019,24.2928571428571,251568.2,3566,51.49,49.8,8.179199798423086,12.435469404723415,3.94138761405805,154.64089931581213,3.9080149840306073,3.8837529002262197,3.230522029502598
Connecticut,CT,2020,9.86666666666666,235234.9,3600,30.93,51.8,8.1886891244442,12.36833986835248,3.4317265866969784,152.97583109907745,3.9473901492654373,2.9848674412791487,2.385699999704552
Delaware,DE,2000,7.93452380952381,56550.2,786,28.12,54.7,6.666956792429207,10.942884018231204,3.336481066942464,119.74671063645991,4.001863709427935,2.768318060067552,2.189922852230203
Delaware,DE,2001,9.26785714285714,58372.7,796,23.98,56.1,6.679599185844383,10.974603593766716,3.177220149599368,120.44192404031732,4.027135812528651,2.9225973393440765,2.329018350062201
